LLTD AyDel AyTra
0.350 1.6320 1.4970
0.360 1.6280 1.5020
0.370 1.6240 1.5070
0.380 1.6200 1.5110
0.390 1.6160 1.5160
0.400 1.6120 1.5200
0.410 1.6080 1.5250
0.420 1.6040 1.5290
0.430 1.6000 1.5340
0.440 1.5960 1.5380
0.450 1.5920 1.5430
0.460 1.5870 1.5470
0.470 1.5830 1.5510
0.480 1.5780 1.5560
0.490 1.5740 1.5600
0.500 1.5690 1.5640
0.510 1.5650 1.5680
0.520 1.5600 1.5720
0.530 1.5560 1.5760
0.540 1.5510 1.5800
0.550 1.5460 1.5840
0.560 1.5420 1.5880
0.570 1.5370 1.5920
0.580 1.5320 1.5960
0.590 1.5270 1.6000
0.600 1.5230 1.6040
0.610 1.5180 1.6070
0.620 1.5130 1.6110
0.630 1.5080 1.6150
0.640 1.5070 1.6180
0.650 1.5200 1.6210
