Ay N
0.22859 -3321.08
0.19183 -3420.82
0.16178 -3504.11
0.13745 -3573.39
0.11796 -3630.85
0.10250 -3678.39
0.09039 -3717.63
0.08105 -3749.93
0.07398 -3776.41
0.06876 -3797.96
0.06503 -3815.34
0.06250 -3829.13
0.06090 -3839.80
0.05999 -3847.71
0.05959 -3853.11
0.05949 -3856.20
0.05952 -3857.08
0.05951 -3855.79
0.05929 -3852.30
0.05866 -3846.50
0.05745 -3838.21
0.05543 -3827.19
0.05237 -3813.07
0.04799 -3795.41
0.04197 -3773.62
0.03393 -3746.98
0.02343 -3714.61
0.00995 -3675.40
-0.00715 -3628.04
-0.02859 -3570.93
-0.05522 -3502.22
-0.08798 -3419.75
-0.12791 -3321.15
-0.17606 -3203.92
-0.23338 -3065.73
-0.30056 -2904.75
-0.37775 -2720.24
-0.46433 -2513.21
-0.55867 -2286.91
-0.65816 -2047.06
-0.75939 -1801.31
-0.85872 -1558.22
-0.95283 -1325.80
-1.03924 -1110.35
-1.11645 -915.85
-1.18394 -743.98
-1.24191 -594.60
-1.29105 -466.38
-1.33227 -357.31
-1.36657 -265.10
-1.39492 -187.50
-1.41820 -122.38
-1.43722 -67.85
-1.45264 -22.27
-1.46506 15.79
-1.47496 47.52
-1.48276 73.93
-1.48880 95.87
-1.49335 114.04
-1.49668 129.04
-1.49896 141.36
-1.50037 151.42
-1.50105 159.55
-1.50111 166.06
-1.50066 171.20
-1.49977 175.15
-1.49852 178.11
-1.49696 180.22
-1.49515 181.61
-1.49312 182.38
-1.49092 182.63
-1.48858 182.43
-1.48611 181.85
-1.48355 180.95
-1.48091 179.78
-1.47821 178.38
-1.47546 176.79
-1.47268 175.04
-1.46988 173.16
-1.46706 171.16
-1.46423 169.08

0.83208 -1821.91
0.73853 -2069.94
0.64646 -2312.52
0.55905 -2541.75
0.47877 -2751.67
0.40716 -2938.80
0.34482 -3101.97
0.29161 -3241.80
0.24689 -3360.08
0.20975 -3459.13
0.17918 -3541.44
0.15418 -3609.39
