recorrido caida via altura_cb bump_bueno bump_malo
-30.000 0.57944 1194.884 42.8146 0.04910 -2.03261
-29.000 0.56157 1195.125 42.3569 0.04584 -1.96608
-28.000 0.54361 1195.361 41.8999 0.04270 -1.89946
-27.000 0.52555 1195.593 41.4437 0.03967 -1.83276
-26.000 0.50739 1195.819 40.9883 0.03675 -1.76596
-25.000 0.48913 1196.041 40.5337 0.03395 -1.69908
-24.000 0.47077 1196.258 40.0798 0.03126 -1.63211
-23.000 0.45231 1196.470 39.6267 0.02869 -1.56506
-22.000 0.43376 1196.676 39.1743 0.02623 -1.49792
-21.000 0.41510 1196.879 38.7226 0.02388 -1.43069
-20.000 0.39635 1197.076 38.2717 0.02164 -1.36338
-19.000 0.37750 1197.268 37.8214 0.01952 -1.29599
-18.000 0.35855 1197.455 37.3719 0.01751 -1.22851
-17.000 0.33949 1197.638 36.9231 0.01560 -1.16094
-16.000 0.32034 1197.816 36.4750 0.01381 -1.09330
-15.000 0.30109 1197.988 36.0276 0.01213 -1.02557
-14.000 0.28173 1198.156 35.5808 0.01056 -0.95776
-13.000 0.26228 1198.319 35.1348 0.00910 -0.88986
-12.000 0.24272 1198.478 34.6894 0.00776 -0.82189
-11.000 0.22306 1198.631 34.2447 0.00651 -0.75383
-10.000 0.20330 1198.780 33.8006 0.00538 -0.68570
-9.000 0.18343 1198.923 33.3572 0.00436 -0.61748
-8.000 0.16347 1199.062 32.9144 0.00345 -0.54919
-7.000 0.14340 1199.196 32.4723 0.00264 -0.48081
-6.000 0.12323 1199.326 32.0308 0.00194 -0.41236
-5.000 0.10295 1199.450 31.5899 0.00135 -0.34382
-4.000 0.08257 1199.570 31.1497 0.00087 -0.27521
-3.000 0.06208 1199.684 30.7100 0.00049 -0.20653
-2.000 0.04149 1199.794 30.2710 0.00022 -0.13776
-1.000 0.02080 1199.900 29.8326 0.00006 -0.06892
0.000 0.00000 1200.000 29.3947 0.00000 -0.00000
1.000 -0.02091 1200.096 28.9575 0.00005 0.06899
2.000 -0.04192 1200.186 28.5208 0.00020 0.13806
3.000 -0.06304 1200.272 28.0848 0.00046 0.20721
4.000 -0.08426 1200.354 27.6493 0.00082 0.27643
5.000 -0.10560 1200.430 27.2143 0.00129 0.34572
6.000 -0.12704 1200.502 26.7800 0.00186 0.41509
7.000 -0.14858 1200.568 26.3462 0.00253 0.48453
8.000 -0.17024 1200.631 25.9129 0.00331 0.55404
9.000 -0.19201 1200.688 25.4802 0.00420 0.62363
10.000 -0.21388 1200.740 25.0480 0.00518 0.69329
11.000 -0.23587 1200.788 24.6164 0.00627 0.76302
12.000 -0.25796 1200.831 24.1853 0.00746 0.83282
13.000 -0.28017 1200.869 23.7547 0.00875 0.90269
14.000 -0.30249 1200.903 23.3247 0.01014 0.97264
15.000 -0.32492 1200.931 22.8951 0.01164 1.04265
16.000 -0.34746 1200.955 22.4661 0.01323 1.11273
17.000 -0.37011 1200.974 22.0376 0.01493 1.18288
18.000 -0.39288 1200.989 21.6096 0.01673 1.25310
19.000 -0.41576 1200.998 21.1821 0.01863 1.32339
20.000 -0.43875 1201.003 20.7551 0.02063 1.39375
21.000 -0.46186 1201.004 20.3286 0.02272 1.46418
22.000 -0.48508 1200.999 19.9025 0.02492 1.53467
23.000 -0.50842 1200.990 19.4770 0.02722 1.60523
24.000 -0.53187 1200.975 19.0519 0.02961 1.67586
25.000 -0.55544 1200.957 18.6273 0.03211 1.74655
26.000 -0.57913 1200.933 18.2031 0.03470 1.81731
27.000 -0.60293 1200.905 17.7795 0.03739 1.88813
28.000 -0.62685 1200.872 17.3562 0.04018 1.95902
29.000 -0.65090 1200.834 16.9335 0.04307 2.02997
30.000 -0.67506 1200.791 16.5112 0.04605 2.10099
