decel ideal real
0.000 0.48000 0.62000
0.050 0.48968 0.62000
0.100 0.49935 0.62000
0.150 0.50903 0.62000
0.200 0.51871 0.62000
0.250 0.52839 0.62000
0.300 0.53806 0.62000
0.350 0.54774 0.62000
0.400 0.55742 0.62000
0.450 0.56710 0.62000
0.500 0.57677 0.62000
0.550 0.58645 0.62000
0.600 0.59613 0.62000
0.650 0.60581 0.62000
0.700 0.61548 0.62000
0.750 0.62516 0.62000
0.800 0.63484 0.62000
0.850 0.64452 0.62000
0.900 0.65419 0.62000
0.950 0.66387 0.62000
1.000 0.67355 0.62000
1.050 0.68323 0.62000
1.100 0.69290 0.62000
1.150 0.70258 0.62000
1.200 0.71226 0.62000
1.250 0.72194 0.62000
1.300 0.73161 0.62000
1.350 0.74129 0.62000
1.400 0.75097 0.62000
1.450 0.76065 0.62000
1.500 0.77032 0.62000
1.550 0.78000 0.62000
1.600 0.78968 0.62000
1.650 0.79935 0.62000
1.700 0.80903 0.62000
1.750 0.81871 0.62000
1.800 0.82839 0.62000
1.850 0.83806 0.62000
1.900 0.84774 0.62000
1.950 0.85742 0.62000
2.000 0.86710 0.62000
